Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,83.070000,83.070000,81.639999,82.010002,81.798904,1672100
2021-08-17,80.269997,80.650002,78.900002,79.739998,79.534744,1449500
2021-08-18,80.699997,81.580002,80.629997,80.790001,80.582047,1026100
2021-08-19,80.959999,82.230003,80.800003,81.650002,81.439835,709700
2021-08-20,81.230003,81.970001,80.970001,81.879997,81.669235,906800
2021-08-23,83.589996,84.349998,83.410004,84.320000,84.102959,874000
2021-08-24,85.110001,85.250000,84.580002,84.940002,84.721367,940400
2021-08-25,85.080002,85.570000,84.519997,85.230003,85.010620,1106000
2021-08-26,84.330002,84.430000,83.309998,83.400002,83.185333,607900
2021-08-27,83.930000,85.160004,83.730003,85.040001,84.821106,645700
2021-08-30,85.730003,86.309998,85.349998,85.620003,85.399620,1128000
2021-08-31,85.610001,85.620003,84.809998,85.570000,85.349739,797900
2021-09-01,83.580002,84.169998,83.070000,84.169998,83.953346,1346000
2021-09-02,83.309998,84.230003,83.250000,83.620003,83.404762,875600
2021-09-03,82.379997,82.599998,82.099998,82.449997,82.237770,854000
2021-09-07,85.000000,85.349998,84.830002,85.040001,84.821106,1047600
2021-09-08,84.970001,85.089996,83.400002,83.980003,83.763832,707400
2021-09-09,83.980003,85.430000,83.980003,84.839996,84.621620,500100
2021-09-10,85.830002,86.699997,85.040001,85.129997,84.910866,850300
2021-09-13,85.129997,85.349998,83.000000,83.709999,83.494530,1444800
2021-09-14,86.029999,86.559998,85.459999,85.849998,85.629021,1070400
2021-09-15,86.320000,87.099998,85.930000,87.019997,86.796005,908000
2021-09-16,84.419998,84.540001,83.430000,84.099998,83.883522,1124100
2021-09-17,84.010002,84.059998,82.900002,83.550003,83.334946,806300
2021-09-20,80.480003,80.580002,78.669998,79.449997,79.245491,1532100
2021-09-21,79.989998,81.029999,79.809998,80.750000,80.542145,864600
2021-09-22,81.550003,83.180000,81.550003,82.519997,82.307587,721300
2021-09-23,83.260002,83.860001,83.199997,83.650002,83.434685,567300
2021-09-24,83.260002,83.379997,82.529999,83.089996,82.876122,509400
2021-09-27,83.150002,83.180000,82.400002,83.059998,82.846199,709100
2021-09-28,81.470001,81.470001,79.940002,80.360001,80.153152,1007600
2021-09-29,80.309998,80.650002,79.669998,79.730003,79.524780,521600
2021-09-30,82.349998,83.300003,81.839996,81.959999,81.749031,618300
2021-10-01,81.599998,81.870003,80.230003,81.330002,81.120659,584700
2021-10-04,80.709999,81.139999,78.580002,78.690002,78.487457,1081600
2021-10-05,80.250000,81.449997,79.900002,81.120003,80.911194,688300
2021-10-06,79.699997,80.190002,78.559998,80.040001,79.833977,721200
2021-10-07,81.470001,82.230003,81.330002,81.699997,81.489700,549100
2021-10-08,81.080002,81.080002,80.010002,80.230003,80.023491,482100
2021-10-11,80.790001,81.650002,80.669998,80.760002,80.552124,463300
2021-10-12,80.110001,80.970001,80.010002,80.339996,80.133202,618500
2021-10-13,82.470001,84.199997,82.400002,84.099998,83.883522,1211100
2021-10-14,84.150002,84.769997,83.760002,84.730003,84.511902,825500
2021-10-15,85.949997,86.239998,85.650002,85.839996,85.619041,985900
2021-10-18,86.919998,88.699997,86.790001,88.360001,88.132561,1236100
2021-10-19,88.949997,89.580002,88.260002,88.699997,88.471680,1309600
2021-10-20,88.959999,89.150002,88.349998,88.879997,88.651215,716500
2021-10-21,87.820000,88.199997,87.400002,88.110001,87.883202,583200
2021-10-22,88.010002,88.989998,87.570000,87.849998,87.623871,807400
2021-10-25,89.629997,91.430000,89.430000,91.260002,91.025093,1554400
